config_id,phase,mode,energy_eV,energy_per_atom_eV,max_force_eV_per_A,rms_force_eV_per_A,max_abs_stress_eV_per_A3,directory
O-FAPI3_al_combined_01__combined_strain_rattle_fa_rotation__sev-0.407__seed-new,O-FAPI3,active_learning,-219.77525742,-4.57865119625,16.170459824562876,5.397383148336771,0.008619932896726488,O-FAPI3/O-FAPI3_al_combined_01__combined_strain_rattle_fa_rotation__sev-0.407__seed-new
O-FAPI3_al_combined_02__combined_strain_rattle_fa_rotation__sev-0.422__seed-new,O-FAPI3,active_learning,-217.61888807,-4.533726834791667,25.396315192674656,7.780064635100003,0.04466282693868654,O-FAPI3/O-FAPI3_al_combined_02__combined_strain_rattle_fa_rotation__sev-0.422__seed-new
O-FAPI3_al_combined_03__combined_strain_rattle_fa_rotation__sev-0.438__seed-parity,O-FAPI3,active_learning,-214.57902894,-4.47039643625,37.79747270948872,8.742883107482534,0.03772543231832933,O-FAPI3/O-FAPI3_al_combined_03__combined_strain_rattle_fa_rotation__sev-0.438__seed-parity
O-FAPI3_al_combined_04__combined_strain_rattle_fa_rotation__sev-0.453__seed-new,O-FAPI3,active_learning,-215.0582821,-4.480380877083333,31.706560362522485,8.890739432600126,0.020871089077122554,O-FAPI3/O-FAPI3_al_combined_04__combined_strain_rattle_fa_rotation__sev-0.453__seed-new
O-FAPI3_al_combined_05__combined_strain_rattle_fa_rotation__sev-0.468__seed-new,O-FAPI3,active_learning,-214.33408925,-4.465293526041667,25.021571267004596,8.929353528809806,0.033946799506313206,O-FAPI3/O-FAPI3_al_combined_05__combined_strain_rattle_fa_rotation__sev-0.468__seed-new
O-FAPI3_al_combined_06__combined_strain_rattle_fa_rotation__sev-0.482__seed-new,O-FAPI3,active_learning,-219.74111315,-4.577939857291667,13.525204238101132,4.396248924442713,0.014500987817684677,O-FAPI3/O-FAPI3_al_combined_06__combined_strain_rattle_fa_rotation__sev-0.482__seed-new
O-FAPI3_al_combined_07__combined_strain_rattle_fa_rotation__sev-0.497__seed-new,O-FAPI3,active_learning,-212.19185501,-4.420663646041667,49.20900038735107,11.50157406448556,0.049669043391898184,O-FAPI3/O-FAPI3_al_combined_07__combined_strain_rattle_fa_rotation__sev-0.497__seed-new
O-FAPI3_al_combined_08__combined_strain_rattle_fa_rotation__sev-0.512__seed-parity,O-FAPI3,active_learning,-215.94156851,-4.498782677291667,29.529659133326586,7.59109991619142,0.008451669294262118,O-FAPI3/O-FAPI3_al_combined_08__combined_strain_rattle_fa_rotation__sev-0.512__seed-parity
O-FAPI3_al_combined_09__combined_strain_rattle_fa_rotation__sev-0.527__seed-new,O-FAPI3,active_learning,-215.25818407,-4.484545501458333,17.019685512507102,6.26672542029281,0.00943165733653926,O-FAPI3/O-FAPI3_al_combined_09__combined_strain_rattle_fa_rotation__sev-0.527__seed-new
O-FAPI3_al_combined_10__combined_strain_rattle_fa_rotation__sev-0.542__seed-new,O-FAPI3,active_learning,-210.4309889,-4.383978935416667,46.55351323897478,13.774381390883253,0.08685638413604793,O-FAPI3/O-FAPI3_al_combined_10__combined_strain_rattle_fa_rotation__sev-0.542__seed-new
