config_id,phase,family,distortion_label,severity,seed,seed_origin,seed_origin_config_id,minimum_distance_A,directory
t-FAPI3_al_global_rattle_01__global_rattle__sev-0.208__seed-new,t-FAPI3,global_rattle,global_rattle,0.208,1638607990,new,,1.0249337236660427,t-FAPI3/t-FAPI3_al_global_rattle_01__global_rattle__sev-0.208__seed-new
t-FAPI3_al_global_rattle_02__global_rattle__sev-0.224__seed-new,t-FAPI3,global_rattle,global_rattle,0.224,3775353260,new,,0.8572370765158783,t-FAPI3/t-FAPI3_al_global_rattle_02__global_rattle__sev-0.224__seed-new
t-FAPI3_al_global_rattle_03__global_rattle__sev-0.240__seed-parity,t-FAPI3,global_rattle,global_rattle,0.24,347544039,parity,t-FAPI3_parity_12__global_rattle__sev-0.2,0.927645445226185,t-FAPI3/t-FAPI3_al_global_rattle_03__global_rattle__sev-0.240__seed-parity
t-FAPI3_al_global_rattle_04__global_rattle__sev-0.256__seed-new,t-FAPI3,global_rattle,global_rattle,0.256,3065620901,new,,0.8496576643545233,t-FAPI3/t-FAPI3_al_global_rattle_04__global_rattle__sev-0.256__seed-new
t-FAPI3_al_global_rattle_05__global_rattle__sev-0.272__seed-new,t-FAPI3,global_rattle,global_rattle,0.272,732447489,new,,0.8396919011326015,t-FAPI3/t-FAPI3_al_global_rattle_05__global_rattle__sev-0.272__seed-new
t-FAPI3_al_global_rattle_06__global_rattle__sev-0.288__seed-new,t-FAPI3,global_rattle,global_rattle,0.288,3468941427,new,,0.9892962960697573,t-FAPI3/t-FAPI3_al_global_rattle_06__global_rattle__sev-0.288__seed-new
t-FAPI3_al_global_rattle_07__global_rattle__sev-0.304__seed-new,t-FAPI3,global_rattle,global_rattle,0.304,1137749044,new,,0.8751456770804467,t-FAPI3/t-FAPI3_al_global_rattle_07__global_rattle__sev-0.304__seed-new
t-FAPI3_al_global_rattle_08__global_rattle__sev-0.320__seed-parity,t-FAPI3,global_rattle,global_rattle,0.32,2130594558,parity,t-FAPI3_parity_14__global_rattle__sev-0.4,0.9255655987213962,t-FAPI3/t-FAPI3_al_global_rattle_08__global_rattle__sev-0.320__seed-parity
t-FAPI3_al_global_rattle_09__global_rattle__sev-0.336__seed-new,t-FAPI3,global_rattle,global_rattle,0.336,3683584627,new,,0.8495800631837149,t-FAPI3/t-FAPI3_al_global_rattle_09__global_rattle__sev-0.336__seed-new
t-FAPI3_al_global_rattle_10__global_rattle__sev-0.352__seed-new,t-FAPI3,global_rattle,global_rattle,0.352,2715035719,new,,0.8939613100650722,t-FAPI3/t-FAPI3_al_global_rattle_10__global_rattle__sev-0.352__seed-new
t-FAPI3_al_global_rattle_11__global_rattle__sev-0.368__seed-new,t-FAPI3,global_rattle,global_rattle,0.368,1677727419,new,,0.9357045831780499,t-FAPI3/t-FAPI3_al_global_rattle_11__global_rattle__sev-0.368__seed-new
t-FAPI3_al_global_rattle_12__global_rattle__sev-0.384__seed-new,t-FAPI3,global_rattle,global_rattle,0.384,3334769154,new,,0.7294159089244682,t-FAPI3/t-FAPI3_al_global_rattle_12__global_rattle__sev-0.384__seed-new
