config_id,phase,mode,energy_eV,energy_per_atom_eV,max_force_eV_per_A,rms_force_eV_per_A,max_abs_stress_eV_per_A3,directory
O-FAPI3_all_rattle_01,O-FAPI3,all_rattle,-224.3522251,-4.674004689583334,9.04084384895589,3.4776056518824694,0.007469784763195567,O-FAPI3/O-FAPI3_all_rattle_01
O-FAPI3_all_rattle_02,O-FAPI3,all_rattle,-221.77669296,-4.6203477699999995,12.849323807593398,4.503019242713458,0.012719180335951137,O-FAPI3/O-FAPI3_all_rattle_02
O-FAPI3_all_rattle_03,O-FAPI3,all_rattle,-224.58514995,-4.678857290624999,13.89385388503839,3.733154928142561,0.005404834696486916,O-FAPI3/O-FAPI3_all_rattle_03
O-FAPI3_all_rattle_04,O-FAPI3,all_rattle,-220.41089514,-4.59189364875,21.497451196299856,6.396422356899576,0.013823254460510975,O-FAPI3/O-FAPI3_all_rattle_04
O-FAPI3_all_rattle_05,O-FAPI3,all_rattle,-226.01579052,-4.7086623025,8.053378729413977,2.371497652005572,0.006444479395064707,O-FAPI3/O-FAPI3_all_rattle_05
O-FAPI3_all_rattle_06,O-FAPI3,all_rattle,-224.79428381,-4.683214246041667,7.972406183752798,3.0017426292117966,0.0039251464216597315,O-FAPI3/O-FAPI3_all_rattle_06
O-FAPI3_all_rattle_07,O-FAPI3,all_rattle,-226.15234756,-4.711507240833334,6.609325659510922,2.116493226733371,0.0021485540890499055,O-FAPI3/O-FAPI3_all_rattle_07
O-FAPI3_all_rattle_08,O-FAPI3,all_rattle,-219.71361268,-4.577366930833334,16.477242139677305,6.121808897799299,0.010293024855003554,O-FAPI3/O-FAPI3_all_rattle_08
O-FAPI3_all_rattle_09,O-FAPI3,all_rattle,-225.61865225,-4.700388588541666,8.394672464815695,2.4377290819640707,0.004365653149093811,O-FAPI3/O-FAPI3_all_rattle_09
O-FAPI3_all_rattle_10,O-FAPI3,all_rattle,-226.20729434,-4.712651965416667,6.134518667688035,1.9587422581599525,0.006758894868028273,O-FAPI3/O-FAPI3_all_rattle_10
O-FAPI3_all_rattle_11,O-FAPI3,all_rattle,-223.49969312,-4.656243606666666,10.96131221579661,3.7728137642267567,0.009528254845197653,O-FAPI3/O-FAPI3_all_rattle_11
O-FAPI3_all_rattle_12,O-FAPI3,all_rattle,-227.00796687,-4.729332643125,2.640068273170705,0.9438204045309829,0.001527105082071611,O-FAPI3/O-FAPI3_all_rattle_12
O-FAPI3_all_rattle_13,O-FAPI3,all_rattle,-222.54935298,-4.6364448537500005,10.402681607463467,4.228526794794771,0.01300140636779413,O-FAPI3/O-FAPI3_all_rattle_13
O-FAPI3_all_rattle_14,O-FAPI3,all_rattle,-223.51352391,-4.656531748125,15.932406166064089,4.0667047958087705,0.010815830299250864,O-FAPI3/O-FAPI3_all_rattle_14
O-FAPI3_all_rattle_15,O-FAPI3,all_rattle,-224.84378629,-4.684245547708334,10.504216127525865,3.3082667037121594,0.007354707525388952,O-FAPI3/O-FAPI3_all_rattle_15
O-FAPI3_all_rattle_16,O-FAPI3,all_rattle,-221.70671309,-4.618889856041666,20.312221732036782,5.317405609183184,0.012349959338515397,O-FAPI3/O-FAPI3_all_rattle_16
O-FAPI3_all_rattle_17,O-FAPI3,all_rattle,-224.03279403,-4.667349875625,12.036776520878385,3.9258318288949963,0.007660635744311068,O-FAPI3/O-FAPI3_all_rattle_17
O-FAPI3_cage_rattle_01,O-FAPI3,cage_rattle,-227.20474353,-4.733432156875,0.3964825498926163,0.12178678399150797,0.0010160599080438163,O-FAPI3/O-FAPI3_cage_rattle_01
