config_id,phase,mode,seed,source,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
O-FAPI3_small_rotation_01,O-FAPI3,small_rotation,117086298,O-FAPI3/CONTCAR,48,,2,1.0189468527998744,O-FAPI3/O-FAPI3_small_rotation_01
O-FAPI3_small_rotation_02,O-FAPI3,small_rotation,3815716637,O-FAPI3/CONTCAR,48,,1,1.0189468527998746,O-FAPI3/O-FAPI3_small_rotation_02
O-FAPI3_small_rotation_03,O-FAPI3,small_rotation,2763444321,O-FAPI3/CONTCAR,48,,4,1.0189468527998733,O-FAPI3/O-FAPI3_small_rotation_03
O-FAPI3_small_rotation_04,O-FAPI3,small_rotation,343322148,O-FAPI3/CONTCAR,48,,1,1.0189468527998746,O-FAPI3/O-FAPI3_small_rotation_04
O-FAPI3_small_rotation_05,O-FAPI3,small_rotation,100293489,O-FAPI3/CONTCAR,48,,1,1.0189468527998746,O-FAPI3/O-FAPI3_small_rotation_05
O-FAPI3_small_rotation_06,O-FAPI3,small_rotation,1277882832,O-FAPI3/CONTCAR,48,,2,1.0189468527998737,O-FAPI3/O-FAPI3_small_rotation_06
O-FAPI3_small_rotation_07,O-FAPI3,small_rotation,4105054636,O-FAPI3/CONTCAR,48,,3,1.0189468527998737,O-FAPI3/O-FAPI3_small_rotation_07
O-FAPI3_small_rotation_08,O-FAPI3,small_rotation,1368788174,O-FAPI3/CONTCAR,48,,1,1.0189468527998746,O-FAPI3/O-FAPI3_small_rotation_08
O-FAPI3_small_rotation_09,O-FAPI3,small_rotation,3547136855,O-FAPI3/CONTCAR,48,,3,1.0189468527998737,O-FAPI3/O-FAPI3_small_rotation_09
O-FAPI3_small_rotation_10,O-FAPI3,small_rotation,4285567503,O-FAPI3/CONTCAR,48,,1,1.0189468527998744,O-FAPI3/O-FAPI3_small_rotation_10
O-FAPI3_small_rotation_11,O-FAPI3,small_rotation,1939842013,O-FAPI3/CONTCAR,48,,4,1.018946852799875,O-FAPI3/O-FAPI3_small_rotation_11
O-FAPI3_small_rotation_12,O-FAPI3,small_rotation,1052125641,O-FAPI3/CONTCAR,48,,3,1.0189468527998744,O-FAPI3/O-FAPI3_small_rotation_12
O-FAPI3_small_rotation_13,O-FAPI3,small_rotation,1182904147,O-FAPI3/CONTCAR,48,,3,1.0189468527998746,O-FAPI3/O-FAPI3_small_rotation_13
O-FAPI3_small_rotation_14,O-FAPI3,small_rotation,4165865055,O-FAPI3/CONTCAR,48,,4,1.0189468527998744,O-FAPI3/O-FAPI3_small_rotation_14
O-FAPI3_small_rotation_15,O-FAPI3,small_rotation,3197297964,O-FAPI3/CONTCAR,48,,1,1.0189468527998746,O-FAPI3/O-FAPI3_small_rotation_15
O-FAPI3_small_rotation_16,O-FAPI3,small_rotation,1210808760,O-FAPI3/CONTCAR,48,,3,1.0189468527998737,O-FAPI3/O-FAPI3_small_rotation_16
O-FAPI3_small_rotation_17,O-FAPI3,small_rotation,3269417070,O-FAPI3/CONTCAR,48,,4,1.0189468527998742,O-FAPI3/O-FAPI3_small_rotation_17
O-FAPI3_small_rotation_18,O-FAPI3,small_rotation,4045225119,O-FAPI3/CONTCAR,48,,4,1.0189468527998737,O-FAPI3/O-FAPI3_small_rotation_18
O-FAPI3_wide_rotation_01,O-FAPI3,wide_rotation,818436192,O-FAPI3/CONTCAR,48,,1,1.0189468527998746,O-FAPI3/O-FAPI3_wide_rotation_01
O-FAPI3_wide_rotation_02,O-FAPI3,wide_rotation,2236179492,O-FAPI3/CONTCAR,48,,2,1.0189468527998746,O-FAPI3/O-FAPI3_wide_rotation_02
O-FAPI3_wide_rotation_03,O-FAPI3,wide_rotation,2640389311,O-FAPI3/CONTCAR,48,,2,1.0189468527998746,O-FAPI3/O-FAPI3_wide_rotation_03
O-FAPI3_wide_rotation_04,O-FAPI3,wide_rotation,869899387,O-FAPI3/CONTCAR,48,,2,1.0189468527998746,O-FAPI3/O-FAPI3_wide_rotation_04
O-FAPI3_wide_rotation_05,O-FAPI3,wide_rotation,3388352279,O-FAPI3/CONTCAR,48,,4,1.0189468527998742,O-FAPI3/O-FAPI3_wide_rotation_05
O-FAPI3_wide_rotation_06,O-FAPI3,wide_rotation,3816830864,O-FAPI3/CONTCAR,48,,2,1.0189468527998737,O-FAPI3/O-FAPI3_wide_rotation_06
O-FAPI3_wide_rotation_07,O-FAPI3,wide_rotation,1316961925,O-FAPI3/CONTCAR,48,,2,1.0189468527998746,O-FAPI3/O-FAPI3_wide_rotation_07
O-FAPI3_wide_rotation_08,O-FAPI3,wide_rotation,1585760124,O-FAPI3/CONTCAR,48,,4,1.0189468527998744,O-FAPI3/O-FAPI3_wide_rotation_08
O-FAPI3_wide_rotation_09,O-FAPI3,wide_rotation,1390268935,O-FAPI3/CONTCAR,48,,3,1.018946852799875,O-FAPI3/O-FAPI3_wide_rotation_09
