config_id,distortion_label,original_config_id,phase,family,severity,seed,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
O-FAPI3_parity_01__strong_strain__sev-0.1,strong_strain,O-FAPI3_parity_01,O-FAPI3,strong_strain,0.1,325214090,48,0.0415,0,0.9892526427224831,O-FAPI3/O-FAPI3_parity_01__strong_strain__sev-0.1
O-FAPI3_parity_02__strong_strain__sev-0.2,strong_strain,O-FAPI3_parity_02,O-FAPI3,strong_strain,0.2,190889748,48,0.048,0,1.0133438779668344,O-FAPI3/O-FAPI3_parity_02__strong_strain__sev-0.2
O-FAPI3_parity_03__strong_strain__sev-0.3,strong_strain,O-FAPI3_parity_03,O-FAPI3,strong_strain,0.3,453804613,48,0.05450000000000001,0,1.0041128005091198,O-FAPI3/O-FAPI3_parity_03__strong_strain__sev-0.3
O-FAPI3_parity_04__strong_strain__sev-0.4,strong_strain,O-FAPI3_parity_04,O-FAPI3,strong_strain,0.4,2643381725,48,0.061000000000000006,0,0.9994702885966412,O-FAPI3/O-FAPI3_parity_04__strong_strain__sev-0.4
O-FAPI3_parity_05__strong_strain__sev-0.5,strong_strain,O-FAPI3_parity_05,O-FAPI3,strong_strain,0.5,421189034,48,0.0675,0,1.0190743956458996,O-FAPI3/O-FAPI3_parity_05__strong_strain__sev-0.5
O-FAPI3_parity_06__strong_strain__sev-0.6,strong_strain,O-FAPI3_parity_06,O-FAPI3,strong_strain,0.6,3188385541,48,0.07400000000000001,0,1.0070315181290457,O-FAPI3/O-FAPI3_parity_06__strong_strain__sev-0.6
O-FAPI3_parity_07__strong_strain__sev-0.7,strong_strain,O-FAPI3_parity_07,O-FAPI3,strong_strain,0.7,1151819049,48,0.0805,0,0.9794588852511938,O-FAPI3/O-FAPI3_parity_07__strong_strain__sev-0.7
O-FAPI3_parity_08__strong_strain__sev-0.8,strong_strain,O-FAPI3_parity_08,O-FAPI3,strong_strain,0.8,3735268484,48,0.08700000000000001,0,0.9851309795723603,O-FAPI3/O-FAPI3_parity_08__strong_strain__sev-0.8
O-FAPI3_parity_09__strong_strain__sev-0.9,strong_strain,O-FAPI3_parity_09,O-FAPI3,strong_strain,0.9,2901549199,48,0.0935,0,0.9936415865128683,O-FAPI3/O-FAPI3_parity_09__strong_strain__sev-0.9
O-FAPI3_parity_10__strong_strain__sev-1.0,strong_strain,O-FAPI3_parity_10,O-FAPI3,strong_strain,1.0,1998473427,48,0.1,0,0.9717481881937178,O-FAPI3/O-FAPI3_parity_10__strong_strain__sev-1.0
O-FAPI3_parity_11__global_rattle__sev-0.1,global_rattle,O-FAPI3_parity_11,O-FAPI3,global_rattle,0.1,1508704073,48,0.0565,0,0.8825482056295635,O-FAPI3/O-FAPI3_parity_11__global_rattle__sev-0.1
O-FAPI3_parity_12__global_rattle__sev-0.2,global_rattle,O-FAPI3_parity_12,O-FAPI3,global_rattle,0.2,629855035,48,0.068,0,0.8653329390548736,O-FAPI3/O-FAPI3_parity_12__global_rattle__sev-0.2
O-FAPI3_parity_13__global_rattle__sev-0.3,global_rattle,O-FAPI3_parity_13,O-FAPI3,global_rattle,0.3,1195520627,48,0.0795,0,0.8531388923119247,O-FAPI3/O-FAPI3_parity_13__global_rattle__sev-0.3
O-FAPI3_parity_14__global_rattle__sev-0.4,global_rattle,O-FAPI3_parity_14,O-FAPI3,global_rattle,0.4,2119906931,48,0.091,0,0.8377195244281416,O-FAPI3/O-FAPI3_parity_14__global_rattle__sev-0.4
O-FAPI3_parity_15__global_rattle__sev-0.5,global_rattle,O-FAPI3_parity_15,O-FAPI3,global_rattle,0.5,2252567379,48,0.10250000000000001,0,0.7565978784879986,O-FAPI3/O-FAPI3_parity_15__global_rattle__sev-0.5
O-FAPI3_parity_16__global_rattle__sev-0.6,global_rattle,O-FAPI3_parity_16,O-FAPI3,global_rattle,0.6,3081827767,48,0.114,0,0.6683090051824659,O-FAPI3/O-FAPI3_parity_16__global_rattle__sev-0.6
O-FAPI3_parity_17__global_rattle__sev-0.7,global_rattle,O-FAPI3_parity_17,O-FAPI3,global_rattle,0.7,965541105,48,0.1255,0,0.6676560012001042,O-FAPI3/O-FAPI3_parity_17__global_rattle__sev-0.7
O-FAPI3_parity_18__global_rattle__sev-0.8,global_rattle,O-FAPI3_parity_18,O-FAPI3,global_rattle,0.8,3391614287,48,0.137,0,0.7589943555566,O-FAPI3/O-FAPI3_parity_18__global_rattle__sev-0.8
O-FAPI3_parity_19__global_rattle__sev-0.9,global_rattle,O-FAPI3_parity_19,O-FAPI3,global_rattle,0.9,3963824007,48,0.14850000000000002,0,0.7219324544812168,O-FAPI3/O-FAPI3_parity_19__global_rattle__sev-0.9
