original_config_id,config_id,old_directory,directory
O-FAPI3_parity_01,O-FAPI3_parity_01__strong_strain__sev-0.1,O-FAPI3/O-FAPI3_parity_01,O-FAPI3/O-FAPI3_parity_01__strong_strain__sev-0.1
O-FAPI3_parity_02,O-FAPI3_parity_02__strong_strain__sev-0.2,O-FAPI3/O-FAPI3_parity_02,O-FAPI3/O-FAPI3_parity_02__strong_strain__sev-0.2
O-FAPI3_parity_03,O-FAPI3_parity_03__strong_strain__sev-0.3,O-FAPI3/O-FAPI3_parity_03,O-FAPI3/O-FAPI3_parity_03__strong_strain__sev-0.3
O-FAPI3_parity_04,O-FAPI3_parity_04__strong_strain__sev-0.4,O-FAPI3/O-FAPI3_parity_04,O-FAPI3/O-FAPI3_parity_04__strong_strain__sev-0.4
O-FAPI3_parity_05,O-FAPI3_parity_05__strong_strain__sev-0.5,O-FAPI3/O-FAPI3_parity_05,O-FAPI3/O-FAPI3_parity_05__strong_strain__sev-0.5
O-FAPI3_parity_06,O-FAPI3_parity_06__strong_strain__sev-0.6,O-FAPI3/O-FAPI3_parity_06,O-FAPI3/O-FAPI3_parity_06__strong_strain__sev-0.6
O-FAPI3_parity_07,O-FAPI3_parity_07__strong_strain__sev-0.7,O-FAPI3/O-FAPI3_parity_07,O-FAPI3/O-FAPI3_parity_07__strong_strain__sev-0.7
O-FAPI3_parity_08,O-FAPI3_parity_08__strong_strain__sev-0.8,O-FAPI3/O-FAPI3_parity_08,O-FAPI3/O-FAPI3_parity_08__strong_strain__sev-0.8
O-FAPI3_parity_09,O-FAPI3_parity_09__strong_strain__sev-0.9,O-FAPI3/O-FAPI3_parity_09,O-FAPI3/O-FAPI3_parity_09__strong_strain__sev-0.9
O-FAPI3_parity_10,O-FAPI3_parity_10__strong_strain__sev-1.0,O-FAPI3/O-FAPI3_parity_10,O-FAPI3/O-FAPI3_parity_10__strong_strain__sev-1.0
